Date,BA,JNJ,JPM,NVDA,PG,WMT,XOM,AAPL,AMZN,GOOGL,META,MSFT,TSLA
2022-01-03,204.0,151.39391236325991,143.92664925981944,29.75901461695089,146.26522535589004,45.652632220201255,53.12982468693252,174.17620137564992,167.5500030517578,144.0613784409724,336.2272701347971,324.4789626840154,382.5833435058594
2022-01-04,211.3000030517578,152.14993173709146,147.93310149850686,30.220144778217477,146.80795842078726,45.66531203716444,55.63709134437644,178.87758836256972,170.43800354003906,144.40004976188612,337.8671376099685,323.9758239234221,396.51666259765625
2022-01-05,216.63999938964844,152.98602078037604,151.9989698950665,28.894641692408012,147.84826712136422,45.28805282209915,57.69324147656616,175.91962765597447,166.88299560546875,143.43073990652238,330.9796214127639,315.2965689226274,382.2166748046875
2022-01-06,214.63999938964844,153.11942747378822,151.17471468543005,27.588095999920164,148.66240815501806,45.53214904525785,58.99458404556464,169.15160256379613,163.45050048828125,136.06007743230046,320.8421139781479,302.9985793895527,359.0
2022-01-07,212.97999572753903,152.50572809223397,150.05158667412493,28.088155388661864,147.5678518955035,45.49410569002883,59.44572037652749,169.33766907213513,163.83900451660156,137.1992096234285,330.701302293414,303.96622221255154,360.1233215332031
2022-01-10,214.25999450683597,154.489198219589,153.1310866307508,26.53108838442594,147.00698346957023,46.109158422714174,59.83611594287962,165.60599864366586,160.5854949951172,134.1527592080336,323.31680695790044,299.4572301875026,333.3333435058594
2022-01-11,209.0,153.86656263497298,152.39747240595116,27.27169293480433,144.93540859931113,45.71920874918431,59.76670994815605,168.77941063247667,161.5,137.0616634231231,324.7777971110064,303.2210877642495,351.22332763671875
2022-01-12,217.08999633789065,150.8602448120262,152.57860422907004,28.014291859204,143.16241408400273,45.551179484491605,61.71875,172.5013205493631,166.5749969482422,140.1831195548113,333.12638959714155,309.3072459156857,359.6166687011719
2022-01-13,222.25,150.31766076499196,152.46991544955668,28.32571023755515,144.11222787098822,45.471925499470174,61.7013883748092,172.16833406776786,165.25050354003906,140.57047082946312,332.9275959839103,310.081223061755,369.6900024414063
2022-01-14,222.16000366210935,149.98857994540958,145.6045415118175,26.25061424198298,142.99054492916483,45.72237595465728,61.29364409416368,167.81954242119846,160.14999389648438,136.14001576725417,319.8184132277481,294.38709603316755,339.9599914550781
2022-01-18,224.5,148.62770080566406,141.0939739434792,26.2106905748218,143.40666901470058,45.7826140881176,63.17625558177963,167.9860909003212,159.10499572753906,135.24224156457512,321.309236297588,294.2129701112616,342.2033386230469
2022-01-19,225.1000061035156,148.71663325851398,137.2809160147825,26.03002865451013,142.57441884752674,45.18976425330895,63.98308368833168,166.50705720159695,158.76199340820312,135.58832360539645,317.6219485359713,296.3610152786243,347.2366638183594
2022-01-20,217.3800048828125,148.7966721876399,134.9441037725991,25.256482739354094,145.62704366539825,45.12952887686284,62.89864160951389,163.54911855874855,156.76600646972656,135.31671267129403,321.91550871363853,299.0508745044083,336.57666015625
2022-01-21,213.7899932861328,147.81826532108232,133.59459591923107,23.46285831524654,148.24635100808223,44.77128041617876,63.48858396599698,161.04175539217772,149.9499969482422,131.68528077084795,312.8811346137491,292.8777000608215,332.11334228515625
2022-01-24,199.8500061035156,145.8703595613723,128.8667015042041,22.28806850565007,148.63743876679135,44.08967118735953,61.493177248778494,156.73215398969816,139.0,125.11507313847382,296.0151177767175,282.7277385199471,301.586669921875
2022-01-25,200.1000061035156,144.4116965140422,130.10753854930456,22.50366102354194,145.9271848317349,44.381328327127214,62.97671706398361,155.7135197495045,142.24249267578125,127.85815753662722,298.1122787144503,282.0698065330309,304.7333374023437
2022-01-26,206.2100067138672,149.01903829603216,134.69955908143967,23.196360119400374,143.09866026567929,43.541196992831786,65.44061769232661,160.14063545703362,144.75,130.2208611272421,305.12901442963164,298.00582478261947,317.4766540527344
2022-01-27,196.3800048828125,150.66456135302803,135.3336038703069,23.52374694006863,144.36288140897202,43.40804628096458,65.4666310972973,159.1122394434115,140.8000030517578,130.40457051733026,295.92570854139984,292.84867784956623,311.1199951171875
2022-01-28,188.77999877929688,151.9720091845823,130.59664252273646,21.97066345973649,144.2537415395868,43.11637632170739,65.04152681432998,162.30520718558986,140.86050415039062,128.7708494185611,293.8087366396124,290.49746041765246,277.1866760253906
2022-01-31,190.72999572753903,152.5412799457843,131.90994141655815,23.13846924584957,144.92675769421712,43.46194163327465,65.04153124080085,166.66380312140188,144.75,133.24300286957987,298.83772831759944,298.93467313715706,290.9033203125
2022-02-01,202.47999572753903,152.7547529605279,134.67238890097693,25.05686040019819,146.2363985463136,44.13404680178007,66.32551644003887,170.43470653654342,150.0,136.65201142196742,312.6327029578096,300.34739077879186,311.7366638183594
2022-02-02,205.42999267578125,150.8957940457994,136.31176980375858,25.745564557034434,145.6452396150334,44.70153435327801,69.45744843398657,171.15949584991125,155.05050659179688,150.2139748753728,325.81147148817684,299.59272363577713,309.3933410644531
2022-02-03,206.05999755859372,153.21729096793538,135.8588887270999,24.412072945866115,147.31870777566132,44.46693592685906,69.48348399332001,170.8950419808838,141.7375030517578,144.7074566884206,243.1510536483333,299.4571866637444,294.0
2022-02-04,205.0,152.09656129155692,135.0437620768103,23.926987851249987,148.3646238883718,44.66665921010018,70.16017493966756,168.36677539536157,155.60650634765625,142.46192913434274,233.5303384672854,290.478047823017,299.0733337402344
2022-02-07,205.7899932861328,152.46126234466806,138.82062302041015,24.32623007919165,147.21868449686573,44.40352691216471,70.39442252101064,169.52400639061884,158.52000427246094,143.26194027257569,236.24362767941983,296.244875824076,307.92999267578125
