Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,BA,JNJ,JPM,NVDA,PG,WMT,XOM,BA,JNJ,JPM,NVDA,PG,WMT,XOM,BA,JNJ,JPM,NVDA,PG,WMT,XOM,BA,JNJ,JPM,NVDA,PG,WMT,XOM,BA,JNJ,JPM,NVDA,PG,WMT,XOM
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,207.86000061035156,152.57687377929688,145.583251953125,30.06443977355957,147.3597869873047,45.85870361328125,55.12522888183594,210.5500030517578,152.6302523989852,146.42956373325202,30.65333203753287,147.39597882817796,45.90308671394585,55.17728080349437,203.33999633789062,150.40661826480408,143.61152849473027,29.729070264899562,144.62789653652,45.33876863217766,53.103795416596576,204.0,151.39391236325991,143.92664925981944,29.759014616950886,146.26522535589004,45.652632220201255,53.129824686932515,9060200,6012200,13120900,391547000,9317300,20706600,24282400
2022-01-04,213.6300048828125,152.167724609375,151.10226440429688,29.23499870300293,147.87539672851562,45.0185661315918,57.19871520996094,214.55999755859375,153.24395587279204,151.77751136292648,30.410786093739684,148.70762951255176,46.014049352985566,57.42428457254837,209.77999877929688,151.7407906784649,147.8610735077009,28.295765774578836,146.7084515768731,44.94248029877776,55.611065383118955,211.3000030517578,152.14993173709146,147.93310149850686,30.220144778217474,146.80795842078726,45.66531203716444,55.63709134437644,11414600,6748400,20195800,527154000,9253800,33930000,38584000
2022-01-05,213.07000732421875,153.18170166015625,148.33982849121094,27.552167892456055,148.54481506347656,45.62727355957031,57.910133361816406,218.92999267578125,154.29351867164155,152.48805593761367,29.360765763162373,149.54892461005448,46.27085218258841,58.656241976598466,211.80999755859375,152.6480240658493,148.29453941942515,27.48130206247619,147.81207528369666,45.25317908573784,57.67589303811276,216.63999938964844,152.98602078037604,151.9989698950665,28.894641692408015,147.84826712136422,45.28805282209915,57.69324147656616,11564700,7016100,17539400,498064000,9330200,35418000,34033300
2022-01-06,211.33999633789062,152.65692138671875,149.91575622558594,28.125085830688477,147.2964630126953,45.50044631958008,59.2722053527832,216.0,153.43074165376356,151.5913408639301,28.38459782174444,149.4403670487665,45.85552192657331,59.41101931589952,207.86000061035156,151.91867329099293,148.42130018458212,27.0141768979601,147.09744930942418,45.14537071258684,58.18774608723974,214.63999938964844,153.11942747378822,151.17471468543005,27.588095999920164,148.66240815501806,45.53214904525785,58.994584045564636,7142200,7301600,14047500,454186000,7556000,21828900,30668500
2022-01-07,215.5,154.720458984375,151.401123046875,27.195833206176758,147.21505737304688,45.93478012084961,59.7580451965332,218.32000732421875,155.0317731892231,151.73623715932308,28.368627842086806,147.92968747638216,46.08378801541415,60.01831808620948,212.3800048828125,152.2122067604592,149.49909340155244,27.006189469893535,146.50041346656897,45.322908063709804,58.97723976553345,212.97999572753906,152.50572809223397,150.05158667412493,28.088155388661864,147.5678518955035,45.49410569002883,59.44572037652749,9526400,6986000,13913300,409939000,6098500,19723500,23985400
2022-01-10,209.30999755859375,153.9555206298828,151.5460662841797,27.34855079650879,145.2068328857422,45.84602355957031,59.4023323059082,215.27999877929688,154.48919821958899,153.34845200472952,27.417421479287018,147.55879168244053,46.156712522640085,60.009626750062985,207.1300048828125,153.12833529502163,149.92480916175836,25.59584750980555,144.89021641159908,45.37364630297814,58.95119361681064,214.25999450683594,154.48919821958899,153.13108663075081,26.53108838442594,147.00698346957023,46.109158422714174,59.83611594287962,8229000,7698400,12922500,594681000,8055000,22731600,22760300
2022-01-11,216.02000427246094,152.31890869140625,151.7000732421875,27.7647647857666,143.52423095703125,45.71603775024414,61.90092468261719,217.02999877929688,154.22233859874362,152.63297004279735,28.012300188933875,144.93540859931113,45.84919430871454,61.94430569462778,208.41000366210938,151.30493226547856,150.63130923102395,26.788602534334327,141.94117663724373,45.39266479310651,59.49776620692714,209.0,153.86656263497298,152.39747240595116,27.27169293480433,144.93540859931113,45.71920874918431,59.76670994815605,8098400,8341100,11854100,404089000,11957900,21668700,32936100
2022-01-12,217.4499969482422,151.0203399658203,152.56048583984375,27.946420669555664,143.8408660888672,45.47509002685547,61.71875,221.24000549316406,151.27828914291513,153.60206518570928,28.541300195666114,144.15748254572716,45.639949309018746,62.300018623058364,216.3000030517578,149.73063479630594,151.41926226337432,27.556154189952288,142.77344156005495,45.33559873476428,61.28496625998369,217.08999633789062,150.8602448120262,152.57860422907004,28.014291859203997,143.16241408400273,45.551179484491605,61.71875,9134500,8116200,12568000,383413000,7127500,18946800,23045100
