Date,AAPL,AMZN,GOOGL,META,MSFT,TSLA,BA,JNJ,JPM,NVDA,PG,WMT,XOM
2022-01-03,178.2703094482422,170.4044952392578,143.99832153320312,336.4658203125,323.8984069824219,399.9266662597656,207.86000061035156,152.57687377929688,145.583251953125,30.06443977355957,147.3597869873047,45.85870361328125,55.12522888183594
2022-01-04,176.00778198242188,167.52200317382812,143.41038513183594,334.46807861328125,318.3445129394531,383.1966552734375,213.6300048828125,152.167724609375,151.10226440429688,29.23499870300293,147.87539672851562,45.0185661315918,57.19871520996094
2022-01-05,171.32598876953125,164.35699462890625,136.8312530517578,322.1838684082031,306.1239013671875,362.7066650390625,213.07000732421875,153.18170166015625,148.33982849121094,27.552167892456055,148.54481506347656,45.62727355957031,57.910133361816406
2022-01-06,168.4659881591797,163.25399780273438,136.80393981933594,330.42303466796875,303.7049255371094,354.8999938964844,211.33999633789065,152.65692138671875,149.91575622558594,28.125085830688477,147.2964630126953,45.50044631958008,59.2722053527832
2022-01-07,168.63246154785156,162.5540008544922,136.0784454345703,329.75714111328125,303.85980224609375,342.32000732421875,215.5,154.720458984375,151.401123046875,27.19583320617676,147.21505737304688,45.93478012084961,59.7580451965332
2022-01-10,168.652099609375,161.48599243164062,137.7196502685547,326.0599060058594,304.082275390625,352.7066650390625,209.30999755859375,153.9555206298828,151.5460662841797,27.34855079650879,145.2068328857422,45.84602355957031,59.4023323059082
2022-01-11,171.48269653320312,165.36199951171875,138.77880859375,332.3212890625,304.76922607421875,354.79998779296875,216.02000427246097,152.31890869140625,151.7000732421875,27.7647647857666,143.52423095703125,45.71603775024414,61.90092468261719
2022-01-12,171.92344665527344,165.20700073242188,140.46170043945312,331.2181701660156,307.9526062011719,368.739990234375,217.4499969482422,151.0203399658203,152.56048583984375,27.946420669555664,143.8408660888672,45.47509002685547,61.71875
2022-01-13,168.652099609375,161.21400451660156,137.63771057128906,324.47967529296875,294.919189453125,343.85333251953125,223.8999938964844,150.10418701171875,152.3702850341797,26.52509880065918,143.1895294189453,46.11867141723633,61.276275634765625
2022-01-14,169.51400756835938,162.13800048828125,138.5250701904297,329.866455078125,300.14422607421875,349.8699951171875,225.9600067138672,149.28590393066406,143.00511169433594,26.89140892028809,144.56454467773438,45.98868179321289,62.35207748413086
2022-01-18,166.3112335205078,158.91749572753906,135.0664520263672,316.2007141113281,292.8389892578125,343.5033264160156,225.0099945068359,148.62770080566406,137.0091552734375,25.854360580444336,141.77838134765625,45.18342590332031,63.401824951171875
2022-01-19,162.81451416015625,156.2989959716797,134.1909637451172,317.63189697265625,293.4969482421875,331.8833312988281,217.0800018310547,148.16517639160156,134.88978576660156,25.019927978515625,146.54562377929688,45.63360977172851,63.42784118652344
2022-01-20,161.12986755371094,151.66749572753906,132.3943634033203,314.6204833984375,291.8230285644531,332.0899963378906,214.19000244140625,146.98219299316406,133.73948669433594,24.10464859008789,147.33688354492188,44.77128219604492,63.56666564941406
2022-01-21,159.07305908203125,142.64300537109375,129.45863342285156,301.3124694824219,286.43359375,314.6333312988281,205.44000244140625,146.64418029785156,131.40274047851562,23.330108642578125,147.90074157714844,44.44473648071289,62.61233901977539
2022-01-24,158.2992706298828,144.54400634765625,129.90802001953125,306.8185119628906,286.7625427246094,310.0,204.1999969482422,144.9542236328125,131.2849884033203,23.32811164855957,146.7002410888672,44.44791793823242,63.15023422241211
2022-01-25,156.49708557128906,139.98599243164062,126.06551361083984,298.31103515625,279.1380310058594,306.1333312988281,204.1000061035156,149.09912109375,132.71603393554688,22.28207778930664,145.09954833984375,43.48095703125,65.00682830810547
2022-01-26,156.40892028808594,138.87249755859375,128.3477783203125,292.8248596191406,287.09149169921875,312.4700012207031,194.27000427246097,149.7661895751953,133.9749755859375,22.729238510131836,143.83534240722656,43.03711700439453,64.34748077392578
2022-01-27,155.9486083984375,139.6374969482422,128.12132263183594,292.83477783203125,290.1200866699219,276.3666687011719,189.75,151.73190307617188,131.61106872558594,21.902795791625977,144.7266845703125,43.065650939941406,65.17166137695312
2022-01-28,166.8302764892578,143.97799682617188,132.43756103515625,299.8614196777344,298.26715087890625,282.1166687011719,190.57000732421875,152.7991943359375,132.7884979248047,22.797109603881836,145.97267150878906,43.5982666015625,65.31047058105469
2022-01-31,171.18887329101562,149.57350158691406,134.37667846679688,311.3406677246094,300.89886474609375,312.239990234375,200.2400054931641,153.2439422607422,134.5908966064453,24.440021514892575,145.92718505859375,44.32426834106445,65.90042114257812
2022-02-01,171.0223846435547,151.19349670410156,136.701171875,317.0455017089844,298.7508850097656,310.4166564941406,208.33999633789065,151.9898223876953,136.9004669189453,24.59173583984375,145.2814483642578,44.673004150390625,70.1254653930664
2022-02-02,172.2270965576172,150.6125030517578,146.98623657226562,321.02099609375,303.2985534667969,301.88665771484375,207.52000427246097,153.6708984375,135.8045654296875,25.19460105895996,147.88258361816406,44.65398025512695,69.94329071044922
2022-02-03,169.34750366210938,138.8455047607422,142.10986328125,236.3032684326172,291.48431396484375,297.0466613769531,206.38999938964844,153.66201782226562,134.6814422607422,23.903030395507812,149.283203125,44.698368072509766,69.1277847290039
2022-02-04,169.06307983398438,157.63949584960938,142.31146240234375,235.63734436035156,296.0223083496094,307.7733459472656,206.4499969482422,152.65692138671875,138.1775665283203,24.27333641052246,146.90943908691406,44.172088623046875,70.628662109375
2022-02-07,168.34716796875,157.9355010986328,138.24752807617188,223.5319976806641,291.194091796875,302.4466552734375,211.9199981689453,152.1499481201172,138.6394805908203,24.681562423706055,145.80899047851562,43.73775863647461,71.4788818359375
