Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,JNJ,JPM,NVDA,PG,XOM,JNJ,JPM,NVDA,PG,XOM,JNJ,JPM,NVDA,PG,XOM,JNJ,JPM,NVDA,PG,XOM,JNJ,JPM,NVDA,PG,XOM
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,152.5768585205078,145.58323669433594,30.06443977355957,147.35975646972656,55.12522888183594,152.63023713485788,146.4295483857598,30.65333203753287,147.39594830310466,55.17728080349437,150.40660322305627,143.61151344260037,29.729070264899562,144.62786658470466,53.103795416596576,151.39389722277556,143.92663417466127,29.759014616950886,146.26519506499093,53.129824686932515,6012200,13120900,391547000,9317300,24282400
2022-01-04,152.16773986816406,151.1022491455078,29.23499870300293,147.8754119873047,57.19872283935547,153.2439712395014,151.77749603594884,30.410786093739684,148.70764485721625,57.424292232030254,151.74080589444267,147.86105857621763,28.295765774578836,146.70846671524882,55.61107280074637,152.14994699409633,147.93308655975,30.220144778217474,146.80797356943077,55.6370987654753,6748400,20195800,527154000,9253800,38584000
2022-01-05,153.18167114257812,148.33981323242188,27.552167892456055,148.54481506347656,57.91012191772461,154.293487932562,152.48804025212243,29.360765763162373,149.54892461005448,58.65623038506209,152.64799365459294,148.2945241652947,27.48130206247619,147.81207528369666,57.6758816403111,152.98599030178238,151.99895425988447,28.894641692408015,147.84826712136422,57.69323007533613,7016100,17539400,498064000,9330200,34033300
2022-01-06,152.65692138671875,149.915771484375,28.125085830688477,147.29644775390625,59.27220153808594,153.43074165376356,151.59135629326423,28.38459782174444,149.44035156788536,59.411015492268334,151.91867329099293,148.42131529126183,27.0141768979601,147.0974340712514,58.18774234233714,153.11942747378822,151.17473007235895,27.588095999920164,148.6623927547275,58.99458024873479,7301600,14047500,454186000,7556000,30668500
2022-01-07,154.72044372558594,151.4011688232422,27.195837020874023,147.2150421142578,59.75804138183594,155.0317578997317,151.73628303701256,28.36863182128929,147.92967214352194,60.01831425489751,152.21219174903814,149.499138602838,27.00619325798991,146.50039828185248,58.97723600067945,152.50571305186534,150.05163204245767,28.08815932852312,147.5678366001474,59.44571658176769,6986000,13913300,409939000,6098500,23985400
2022-01-10,153.95550537109375,151.54611206054688,27.348546981811523,145.20684814453125,59.40234375,154.48918290790624,153.34849832552965,27.417417654983364,147.5588071883808,60.009638311152436,153.12832011821627,149.92485444840474,25.595843939583116,144.8902316371171,58.9512049739888,154.48918290790624,153.13113288589304,26.531084683751956,147.00699891752475,59.836127470541534,7698400,12922500,594681000,8055000,22760300
2022-01-11,152.3189239501953,151.70004272460938,27.764766693115234,143.52427673339844,61.90092849731445,154.2223540482118,152.63293933754792,28.012302113287383,144.93545482576667,61.94430951199843,151.3049474226909,150.6312789284496,26.788604374623805,141.9412219087033,59.497769873527716,153.86657804880073,152.3974417480769,27.271694808280543,144.93545482576667,59.76671363133051,8341100,11854100,404089000,11957900,32936100
2022-01-12,151.0203399658203,152.5605010986328,27.946422576904297,143.84083557128906,61.71874237060547,151.27828914291513,153.602080548675,28.54130214361539,144.15745196097504,62.30001092181001,149.73063479630594,151.41927740802055,27.55615607066516,142.77341126894385,61.284958684211546,150.8602448120262,152.57861948967127,28.014293771184857,143.16238371036638,61.71874237060547,8116200,12568000,383413000,7127500,23045100
