Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,MSFT,TSLA,AAPL,AMZN,GOOGL,META,MSFT,TSLA,AAPL,AMZN,GOOGL,META,MSFT,TSLA,AAPL,AMZN,GOOGL,META,MSFT,TSLA,AAPL,AMZN,GOOGL,META,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-07,168.34716796875,157.9355010986328,138.24752807617188,223.53199768066406,291.194091796875,302.4466552734375,170.59296708423147,162.6909942626953,143.26194027257569,236.83995759252116,297.8607227658091,315.92333984375,167.65086354740316,157.25,137.94857975361714,222.6375028110121,290.1781120131645,300.9033203125,169.52400639061884,158.52000427246094,143.26194027257569,236.24362767941986,296.244875824076,307.92999267578125,77251200,102624000,54974000,88613800,28533300,60994500
2022-02-08,171.45599365234375,161.4134979248047,138.4441375732422,218.83094787597656,294.6869812011719,307.3333435058594,171.965962469506,161.79249572753906,139.04101874272152,224.38670942121558,295.65456388952043,308.7633361816406,168.12160057312957,155.55050659179688,136.07547995948318,214.82564093552642,290.22643918145957,298.26666259765625,168.4158139278121,156.75050354003906,138.0741915730561,219.49685612539977,291.4842848650006,301.84332275390625,74829200,76040000,54284000,94729700,32421200,50729100
2022-02-09,172.87802124023438,161.1894989013672,140.6221160888672,230.57855224609375,301.12139892578125,310.6666564941406,173.2408759269309,163.83450317382812,141.5482389401136,231.94015349913388,301.81805963963785,315.42333984375,171.5246486789991,160.25,139.22674129304525,220.84854156326838,297.42525551309234,306.6666564941406,172.65246413479986,162.87350463867188,139.99792689638787,222.82633926682897,299.8248416721582,311.6666564941406,71285000,68786000,40144000,86563300,31284700,52259400
2022-02-10,168.79830932617188,159.0034942626953,137.67047119140625,226.6726531982422,292.5776672363281,301.51666259765625,172.09346641687537,160.7165069580078,140.51535178227655,233.56018674503886,299.0991653120137,314.60333251953125,168.23931734555768,157.75,137.0120182079764,225.311036690771,290.95213535552574,298.8999938964844,170.77933021680633,158.35000610351562,138.74656067127665,226.87142479219912,294.1838580929357,302.7900085449219,90865900,68268000,39330000,49310400,45386200,66126900
2022-02-11,165.38546752929688,153.2935028076172,133.36268615722656,218.204833984375,285.4757080078125,286.6666564941406,169.73978371917386,159.0,138.20329295411477,229.0082293247873,294.4258511158453,305.32000732421875,164.79704076038374,152.73399353027344,132.486223876279,217.42961420856673,284.68228282928357,283.5666809082031,169.00425774018962,158.13450622558594,137.6506167768868,227.06024661414577,293.3615038676102,303.2099914550781,98670700,77100000,39958000,46156900,39175600,79645800
2022-02-14,165.62083435058594,155.16700744628906,134.59765625,216.3661651611328,285.4369812011719,291.9200134277344,166.30732224292808,158.44850158691406,135.36635645883993,219.64594933815616,287.13993670756025,299.6266784667969,163.34560023389338,151.64999389648438,132.3437014572627,213.4640576050981,281.9053092038322,284.3833312988281,164.13996586391173,151.75100708007812,132.3437014572627,217.96630141676937,284.24684349682684,287.19000244140625,86185500,83230000,34302000,38184000,36359500,67756500
2022-02-15,169.45535278320312,156.510498046875,135.67276000976562,219.6459503173828,290.7296447753906,307.4766540527344,169.61226856573026,158.0070037841797,137.16248526255038,219.79502521301683,291.04893415052186,307.6666564941406,166.96437833391397,154.6374969482422,134.89114828122072,213.74234180548123,287.3914718484893,297.7933349609375,167.67048439097334,157.60549926757812,136.62816089438695,219.1191987990764,290.28456489456636,300.0,62527400,56440000,26680000,42685500,27058300,57286200
2022-02-16,169.2200164794922,158.10049438476562,136.79452514648438,215.2132568359375,290.3902893066406,307.7966613769531,169.99476394129306,158.83399963378906,137.14013340541413,216.12763335877167,291.7186141094078,308.80999755859375,166.7682631690513,154.7344970703125,133.99979001083722,211.0588748963549,284.74730563169356,300.4033203125,168.53352854543166,155.79049682617188,135.71049482174425,211.10857158035873,289.29465510017036,304.6833190917969,61177400,52704000,25022000,45817500,29982100,51294300
2022-02-17,165.62083435058594,154.65249633789062,131.63111877441406,206.4373779296875,281.8870849609375,292.1166687011719,168.5923579851135,160.3489990234375,136.17427722960795,216.1673884184098,287.7724356407643,306.1666564941406,165.2187432406735,154.5,131.57103210398424,205.89074471901787,281.17927819469634,291.3666687011719,167.72933608370406,158.14599609375,135.30974142598828,212.708714449999,287.3458164377349,304.4200134277344,69589300,64032000,38950000,38747500,32461600,55178400
2022-02-18,164.0713348388672,152.60150146484375,129.509765625,204.89686584472656,279.1722106933594,285.6600036621094,167.24879755806595,155.49949645996094,133.15165480974724,209.45873937580185,284.92183458390497,295.6233215332031,162.98275576839345,150.89300537109375,129.3046828967441,203.92285936420117,277.601489929,279.2033386230469,166.54270637048876,155.49949645996094,132.55277323596871,208.10707145933895,284.13647420172526,295.3333435058594,82772700,63604000,45620000,37128400,34264000,68501700
2022-02-22,161.1488494873047,150.19749450683594,128.92428588867188,200.84185791015625,278.9685974121094,273.84332275390625,163.4731068473456,152.9824981689453,131.27506117312328,206.20876605072593,282.6724139032119,285.57666015625,159.02071443579257,148.48550415039062,127.3451658551134,198.83423020137045,275.8465370047907,267.0333251953125,161.79610099125685,150.47850036621094,128.94860848642685,201.10025943097085,276.33132880972005,278.0433349609375,91162800,66128000,44990000,39852400,41736100,83288100
2022-02-23,156.98089599609375,144.82699584960938,126.71404266357422,197.2340850830078,271.7451477050781,254.67999267578125,162.9435479364118,151.76300048828125,131.1464693725239,205.67207193886378,282.8275092232798,278.4333190917969,156.66706433380475,144.6510009765625,126.65395598655614,196.8365419667312,271.580335085681,253.52000427246094,162.34531942395103,151.65049743652344,130.7467300619608,202.90910633443747,281.35372341593103,276.80999755859375,90009200,64244000,32786000,44481400,37811200,95256900
2022-02-24,159.5993194580078,151.35800170898438,131.78208923339844,206.3280487060547,285.6296691894531,266.92333984375,159.70719718910948,151.74899291992188,132.08897834726324,207.07345348437815,286.1823390203235,267.49334716796875,149.06658313119078,139.5,124.09759400552933,189.05453045680989,263.26136530225386,233.3333282470703,149.6353916256984,139.83749389648438,124.09759400552933,189.8893801688604,264.2212733214886,233.4633331298828,141147500,100786000,54456000,49957200,56989700,135322200
